213.180.203.12 - - [10/May/2018:02:01:25 +0300] "GET /robots.txt HTTP/1.0" 200 67 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
213.180.203.58 - - [10/May/2018:02:01:29 +0300] "GET /images/inverters/inverter1.jpeg HTTP/1.1" 304 0 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
5.56.73.79 - - [10/May/2018:02:40:13 +0300] "GET /?yclid=2491105503464141721 HTTP/1.0" 200 8059 "https://www.vesti.ru/doc.html?id=3015529" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:13 +0300] "GET /styles/style_1.css HTTP/2.0" 200 1398 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:13 +0300] "GET /styles/style_slider.css HTTP/2.0" 200 516 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:13 +0300] "GET /logo/logo_test.png HTTP/2.0" 200 21847 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /scripts/slider.js HTTP/2.0" 200 403 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter14.jpg HTTP/2.0" 200 78057 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter12.jpg HTTP/2.0" 200 31775 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter10.jpg HTTP/2.0" 200 16844 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter3.jpg HTTP/2.0" 200 65308 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter13.png HTTP/2.0" 200 445224 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter1.jpeg HTTP/2.0" 200 47690 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter7.jpg HTTP/2.0" 200 93892 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/inverters/inverter9.jpg HTTP/2.0" 200 49595 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/1motor.jpg HTTP/2.0" 200 8480 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/2motor.jpg HTTP/2.0" 200 8937 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/3motor.jpg HTTP/2.0" 200 9677 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/4motor.jpg HTTP/2.0" 200 8018 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/5motor.jpg HTTP/2.0" 200 8250 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/6motor.jpg HTTP/2.0" 200 8994 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/7motor.jpg HTTP/2.0" 200 10356 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/8motor.jpg HTTP/2.0" 200 10678 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/motors/9motor.jpg HTTP/2.0" 200 7794 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.56.73.79 - - [10/May/2018:02:40:14 +0300] "GET /images/manufacturer/Allen-Bradley.jpg HTTP/2.0" 200 6592 "https://remontservodrive.ru/?yclid=2491105503464141721" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
